"lat","lon","duracion","business_size","categoria_calzado","categoria_cafeteria","categoria_panaderia","categoria_farmacia","categoria_restaurante","categoria_tienda"
0.502691,-77.904252,18,0,167631000000000,47037200,88772200000000,25202300000,215634000000000,90010800000000
0.357517,-78.115529,74,1.25,171580,43280.8,304545,148989,40378000,120530000000000
0.347147,-78.132365,286,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.347147,-78.132365,223,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.468,-78.287,14,0,23361500000000,108882000,3674950000000,433349000,1969730000000,2646700000000
0.502691,-77.904252,18,0,167631000000000,47037200,88772200000000,25202300000,215634000000000,90010800000000
0.417111,-78.193578,57,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
38.440429,-122.714055,57,1.25,77375600000000,53206700000000,18161400000000,97626500000000,110508000000000,30107100000000
0.347147,-78.132365,520,2.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.347147,-78.132365,290,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.417506,-78.191654,247,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.420038,-78.194112,79,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.417111,-78.193578,98,0,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.420038,-78.194112,17,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.420038,-78.194112,154,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.420038,-78.194112,111,1.25,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,290,0,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.417111,-78.193578,82,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
-0.197548,-78.480167,52,1.25,21936400000,285748,154415000,33384100,404390000000,39902100000000
0.417046,-78.196974,16,0,11174600000000,23602700000000,139686000,55889900,152615000,7538710000
-1.831239,-78.183406,238,1.25,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
-1.831239,-78.183406,238,1.25,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.347147,-78.132365,22,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
37.63926,-120.997001,192,1.25,77375600000000,5529200000000,18161400000000,97626500000000,110508000000000,30107100000000
0.417111,-78.193578,66,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.417785,-78.195384,70,1.25,11174600000000,23602700000000,139686000,55889900,152615000,7538710000
0.426794,-78.171984,29,0,102710000,18861900000000,345179000,1479210000,152615000,7538710000
0.420038,-78.194112,49,5.5,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,51,1.25,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.468,-78.287,75,0,23361500000000,108882000,3674950000000,433349000,1969730000000,2646700000000
0.417111,-78.193578,42,0,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.347147,-78.132365,21,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.417111,-78.193578,19,0,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.41682,-78.193777,27,0,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.420038,-78.194112,53,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,247,1.25,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
-0.220595,-78.397295,76,0,21936400000,344843000,154415000,6223130000,1225460000,39902100000000
0.347147,-78.132365,76,0,99707.7,9650.43,514080,31786.4,302416,8541830
0.420038,-78.194112,13,1.25,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
-1.759001,-78.755887,111,0,1139350000000,550487000,194241000000000,8174620000,179372000000000,226048000000000
0.417111,-78.193578,111,0,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.416954,-78.197297,7,1.25,11174600000000,23602700000000,139686000,55889900,152615000,7538710000
0.421503,-78.193302,26,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.417111,-78.193578,61,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.417111,-78.193578,332,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.349977,-78.126013,97,1.25,127512,13942.6,192993,10410.4,237082,8541830
0.420038,-78.194112,212,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,116,1.25,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.417111,-78.193578,27,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.347147,-78.132365,286,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
-1.831239,-78.183406,62,0,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.41682,-78.193777,90,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.347147,-78.132365,53,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.417785,-78.195384,158,1.25,11174600000000,23602700000000,139686000,55889900,152615000,7538710000
0.420038,-78.194112,23,1.25,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,36,0,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.421503,-78.193302,110,1.25,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,170,0,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.421503,-78.193302,102,1.25,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.357517,-78.115529,74,0,171580,43280.8,304545,148989,40378000,120530000000000
0.347147,-78.132365,94,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.417111,-78.193578,94,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.417111,-78.193578,458,0,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.417111,-78.193578,458,0,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.347147,-78.132365,45,0,99707.7,9650.43,514080,31786.4,302416,8541830
0.347147,-78.132365,41,0,99707.7,9650.43,514080,31786.4,302416,8541830
-1.831239,-78.183406,29,0,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.416956,-78.19548,5,0,11174600000000,23602700000000,139686000,55889900,152615000,7538710000
0.417111,-78.193578,39,0,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.420038,-78.194112,14,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,46,1.25,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.421503,-78.193302,7,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.420038,-78.194112,33,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.452928,-78.215267,23,0,11174600000000,23602700000000,61847000,5458540000,152615000,7538710000
0.420038,-78.194112,403,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.347147,-78.132365,137,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.420038,-78.194112,225,1.25,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.347147,-78.132365,28,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.420038,-78.194112,233,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.417111,-78.193578,253,1.25,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.347147,-78.132365,130,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.420038,-78.194112,54,5.5,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
0.417111,-78.193578,111,0,11174600000000,18861900000000,14518000,55889900,152615000,7538710000
0.408431,-78.174047,84,1.25,102710000,18861900000000,345179000,1479210000,152615000,7538710000
-1.831239,-78.183406,33,0,1139350000000,1059250000,194241000000000,47896000000,179372000000000,226048000000000
0.417785,-78.195384,17,0,11174600000000,23602700000000,139686000,55889900,152615000,7538710000
0.417854,-78.196231,19,0,11174600000000,23602700000000,139686000,55889900,152615000,7538710000
0.420038,-78.194112,13,0,11174600000000,18861900000000,61847000,5458540000,152615000,7538710000
