lat,lon,duracion,business_size,categoria_calzado,categoria_cafeteria,categoria_panaderia,categoria_farmacia,categoria_restaurante,categoria_tienda
0.502691,-77.904252,18,0,1.67631E+14,47037200,8.87722E+13,25202300000,2.15634E+14,9.00108E+13
0.357517,-78.115529,74,1.25,171580,43280.8,304545,148989,40378000,1.2053E+14
0.347147,-78.132365,286,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.347147,-78.132365,223,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.468,-78.287,14,0,2.33615E+13,108882000,3.67495E+12,433349000,1.96973E+12,2.6467E+12
0.502691,-77.904252,18,0,1.67631E+14,47037200,8.87722E+13,25202300000,2.15634E+14,9.00108E+13
0.417111,-78.193578,57,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
38.440429,-122.714055,57,1.25,7.73756E+13,5.32067E+13,1.81614E+13,9.76265E+13,1.10508E+14,3.01071E+13
0.347147,-78.132365,520,2.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.347147,-78.132365,290,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.417506,-78.191654,247,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.420038,-78.194112,79,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.417111,-78.193578,98,0,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.420038,-78.194112,17,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.420038,-78.194112,154,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.420038,-78.194112,111,1.25,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,290,0,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.417111,-78.193578,82,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
-0.197548,-78.480167,52,1.25,21936400000,285748,154415000,33384100,4.0439E+11,3.99021E+13
0.417046,-78.196974,16,0,1.11746E+13,2.36027E+13,139686000,55889900,152615000,7538710000
-1.831239,-78.183406,238,1.25,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
-1.831239,-78.183406,238,1.25,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.347147,-78.132365,22,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
37.63926,-120.997001,192,1.25,7.73756E+13,5.5292E+12,1.81614E+13,9.76265E+13,1.10508E+14,3.01071E+13
0.417111,-78.193578,66,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.417785,-78.195384,70,1.25,1.11746E+13,2.36027E+13,139686000,55889900,152615000,7538710000
0.426794,-78.171984,29,0,102710000,1.88619E+13,345179000,1479210000,152615000,7538710000
0.420038,-78.194112,49,5.5,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,51,1.25,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.468,-78.287,75,0,2.33615E+13,108882000,3.67495E+12,433349000,1.96973E+12,2.6467E+12
0.417111,-78.193578,42,0,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.347147,-78.132365,21,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.417111,-78.193578,19,0,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.41682,-78.193777,27,0,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.420038,-78.194112,53,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,247,1.25,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
-0.220595,-78.397295,76,0,21936400000,344843000,154415000,6223130000,1225460000,3.99021E+13
0.347147,-78.132365,76,0,99707.7,9650.43,514080,31786.4,302416,8541830
0.420038,-78.194112,13,1.25,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
-1.759001,-78.755887,111,0,1.13935E+12,550487000,1.94241E+14,8174620000,1.79372E+14,2.26048E+14
0.417111,-78.193578,111,0,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.416954,-78.197297,7,1.25,1.11746E+13,2.36027E+13,139686000,55889900,152615000,7538710000
0.421503,-78.193302,26,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.417111,-78.193578,61,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.417111,-78.193578,332,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.349977,-78.126013,97,1.25,127512,13942.6,192993,10410.4,237082,8541830
0.420038,-78.194112,212,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,116,1.25,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.417111,-78.193578,27,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.347147,-78.132365,286,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
-1.831239,-78.183406,62,0,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.41682,-78.193777,90,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.347147,-78.132365,53,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.417785,-78.195384,158,1.25,1.11746E+13,2.36027E+13,139686000,55889900,152615000,7538710000
0.420038,-78.194112,23,1.25,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,36,0,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.421503,-78.193302,110,1.25,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,170,0,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.421503,-78.193302,102,1.25,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.357517,-78.115529,74,0,171580,43280.8,304545,148989,40378000,1.2053E+14
0.347147,-78.132365,94,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.417111,-78.193578,94,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.417111,-78.193578,458,0,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.417111,-78.193578,458,0,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.347147,-78.132365,45,0,99707.7,9650.43,514080,31786.4,302416,8541830
0.347147,-78.132365,41,0,99707.7,9650.43,514080,31786.4,302416,8541830
-1.831239,-78.183406,29,0,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.416956,-78.19548,5,0,1.11746E+13,2.36027E+13,139686000,55889900,152615000,7538710000
0.417111,-78.193578,39,0,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.420038,-78.194112,14,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
-1.831239,-78.183406,46,1.25,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.421503,-78.193302,7,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.420038,-78.194112,33,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.452928,-78.215267,23,0,1.11746E+13,2.36027E+13,61847000,5458540000,152615000,7538710000
0.420038,-78.194112,403,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.347147,-78.132365,137,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.420038,-78.194112,225,1.25,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.347147,-78.132365,28,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.420038,-78.194112,233,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.417111,-78.193578,253,1.25,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.347147,-78.132365,130,1.25,99707.7,9650.43,514080,31786.4,302416,8541830
0.420038,-78.194112,54,5.5,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
0.417111,-78.193578,111,0,1.11746E+13,1.88619E+13,14518000,55889900,152615000,7538710000
0.408431,-78.174047,84,1.25,102710000,1.88619E+13,345179000,1479210000,152615000,7538710000
-1.831239,-78.183406,33,0,1.13935E+12,1059250000,1.94241E+14,47896000000,1.79372E+14,2.26048E+14
0.417785,-78.195384,17,0,1.11746E+13,2.36027E+13,139686000,55889900,152615000,7538710000
0.417854,-78.196231,19,0,1.11746E+13,2.36027E+13,139686000,55889900,152615000,7538710000
0.420038,-78.194112,13,0,1.11746E+13,1.88619E+13,61847000,5458540000,152615000,7538710000
